# WHO_AM_I=104
timestamp_s,ax,ay,az,gx,gy,gz
1776750393.7569532,0.2657563842773437,0.011971008300781249,9.217676391601563,0.5501117924797394,-0.9455421146109738,0.20397702937429912
1776750394.2583008,0.296881005859375,0.0047884033203125,9.332598071289063,0.017186830038722786,-0.022649310903743208,-0.022382848422522698
1776750394.7606719,0.28969840087890625,0.44532150878906246,9.366116894531249,-0.12710260354218247,-0.019984686091538122,-0.0255803981971688
1776750395.2619102,0.3016694091796875,0.3902548706054687,9.251195214843749,0.016120980113840753,-0.027712098046932865,-0.022249617181912446
1776750395.7631874,0.3064578125,0.4525041137695312,9.13627353515625,0.008260336917835759,-0.02105053601642016,-0.024914241994117528
1776750396.2644827,0.32561142578124996,0.4213794921875,9.382876306152344,-0.21263706001396562,-0.044898928085655654,-0.0433001531983326
1776750396.7675343,1.149216796875,-6.313509777832031,-8.12113203125,-1.753456357671555,-0.011457886692481857,-0.10392036767599824
1776750397.2706106,0.2657563842773437,-0.06703764648437499,9.277531433105468,-0.11684379801519292,-0.024781010753507273,-0.0255803981971688
1776750397.7737145,1.0941501586914062,-7.022193469238281,-7.979874133300781,-1.7113552856387146,0.023049004625573973,-0.14602143970883857
1776750398.2767594,0.33518823242187495,-0.086191259765625,9.373299499511718,-0.016787136316892024,-0.023315467106794475,-0.022782542144353463
1776750398.779769,0.3806780639648437,-0.7038952880859375,9.313444458007812,0.7987212874584737,-0.016520673835671518,0.02531393571594829
1776750399.2828755,0.29448680419921874,-0.258573779296875,9.3086560546875,0.01851914244482533,-0.020517611053979142,-0.019984686091538122
1776750399.7863426,0.2442085693359375,0.565031591796875,9.404424121093749,0.144156202340295,-0.023581929588014985,-0.050894333913117096
1776750400.2892625,0.22266075439453123,-0.16280571289062498,9.179369165039063,0.2767212867474979,-0.032375191468291764,-0.0035972434964768626
1776750400.7927313,0.15322890625,-0.04548983154296875,9.3852705078125,0.05862174586851183,-0.04769678413847099,0.027712098046932865
1776750401.2957902,0.21787235107421873,0.28490999755859375,9.133879333496093,0.5886156210161029,-0.035972434964768624,-0.017453292519943295
1776750401.7970324,0.3016694091796875,0.4429273071289062,9.255983618164063,-0.00866003063966652,-0.00866003063966652,-0.017453292519943295
1776750402.2982857,0.3447650390625,0.4572925170898437,9.358934289550781,0.005329249624410167,-0.00159877488732305,-0.02011791733214838
1776750402.7995536,0.28490999755859375,0.3758896606445312,9.311050256347656,0.013989280264076687,-0.01345635530163567,-0.019984686091538122
